Month,Channel,Amount,Notes
2026-01-01,Instagram,500,Instagram ads + influencer collab
2026-01-01,WhatsApp,0,Organic only
2026-01-01,Telegram,100,Telegram channel boost
2026-01-01,Wix,200,Wix SEO + Google Ads
2026-01-01,Flowwow,150,Flowwow promoted listing
2026-01-01,In-store,50,Flyers and local signage
2026-01-01,Other,0,
2026-02-01,Instagram,600,Valentine's campaign
2026-02-01,WhatsApp,0,
2026-02-01,Telegram,100,
2026-02-01,Wix,300,Valentine's Google Ads boost
2026-02-01,Flowwow,200,Valentine's promoted listing
2026-02-01,In-store,100,Valentine's window display
2026-02-01,Other,50,Facebook marketplace post
2026-03-01,Instagram,800,Women's Day campaign (8 March)
2026-03-01,Wix,400,Women's Day Google Ads
2026-03-01,Flowwow,250,Women's Day promoted listing
